epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,learning_rate
0,1.0605944395065308,0.6358669400215149,0.620043158531189,0.7516859173774719,0.0010000000474974513
1,0.6992395520210266,0.7158165574073792,0.5569024682044983,0.7865602970123291,0.0010000000474974513
2,0.643738865852356,0.7298488020896912,0.5177661180496216,0.7899130582809448,0.0010000000474974513
3,0.6177099347114563,0.7379838824272156,0.49724313616752625,0.8082624673843384,0.0010000000474974513
4,0.5974189043045044,0.7439919114112854,0.570838987827301,0.7675613760948181,0.0010000000474974513
5,0.5835563540458679,0.7490826845169067,0.5037596821784973,0.7910211086273193,0.0010000000474974513
6,0.5449502468109131,0.7614012360572815,0.5061968564987183,0.7877160906791687,0.0005000000237487257
7,0.5332683324813843,0.7678729891777039,0.4875200688838959,0.8105263113975525,0.0005000000237487257
8,0.5286096334457397,0.7693145275115967,0.46617427468299866,0.8183302879333496,0.0005000000237487257
9,0.5216620564460754,0.7706653475761414,0.45441076159477234,0.819314181804657,0.0005000000237487257
10,0.5172951221466064,0.7721068263053894,0.47932329773902893,0.8124653697013855,0.0005000000237487257
11,0.5158439874649048,0.7728729844093323,0.4461696445941925,0.8220173716545105,0.0005000000237487257
12,0.5078001618385315,0.7744959592819214,0.46521466970443726,0.8138981461524963,0.0005000000237487257
13,0.5047363042831421,0.775030255317688,0.472271591424942,0.8142038583755493,0.0005000000237487257
14,0.48460978269577026,0.7843649387359619,0.44769683480262756,0.8224090337753296,0.0002500000118743628
15,0.48009294271469116,0.7855645418167114,0.4513225555419922,0.8180628418922424,0.0002500000118743628
16,0.46937528252601624,0.7894254326820374,0.4376724660396576,0.8253319263458252,0.0001250000059371814
17,0.4647616744041443,0.7929133176803589,0.4517502188682556,0.8156843781471252,0.0001250000059371814
18,0.4622963070869446,0.7925604581832886,0.44620025157928467,0.8198300004005432,0.0001250000059371814
19,0.4574902653694153,0.7949697375297546,0.4542618691921234,0.8162862062454224,6.25000029685907e-05
